WKT,name,description
"POINT (-73.9987172 40.7645602)",Intrepid Museum,
"POINT (-74.0036345 40.705493)",Restroom,
"POINT (-74.0035333 40.7057003)",South Street Seaport,
"POINT (-74.0158905 40.7044284)",Restroom,
"POINT (-74.0151815 40.7020193)",The Battery,
"POINT (-73.9465272 40.8485679)",George Washington Bridge,
"POINT (-73.9462939 40.8472638)",Restroom,
"POINT (-73.9445277 40.7729724)",John Finley Walk,
"POINT (-73.9653124 40.8137966)",Riverside Park,
"POINT (-73.9946094 40.7719581)",Restroom,
"POINT (-73.9399613 40.8279368)",Restroom,
"POINT (-73.96869120000001 40.74810230000001)",Restroom,
